source,target,Weight
farmer,osha,2
farmer,rickon,2
frey_septon,roslin,2
frey_septon,walder,2
gendry,tywin,2
gilly,rast,2
greizhen,jorah,2
greizhen,kraznys_mo_nakloz,2
grenn,karl_tanner,2
grey_worm,mero,2
grey_worm,missandei,2
high_septon,loras,2
high_septon,olenna,2
high_septon,pycelle,2
high_septon,sansa,2
high_septon,tyrion,2
high_septon,tywin,2
hodor,jon,2
hodor,tormund,2
hodor,ygritte,2
hound,ilyn_payne,2
hound,meryn_trant,2
hound,ned,2
hound,robb,2
hound,roose_bolton,2
ilyn_payne,joffrey,2
ilyn_payne,meryn_trant,2
ilyn_payne,ned,2
jaime,loras,2
jaime,ned,2
jaime,pycelle,2
jaime,stannis,2
jeor,jon,2
joffrey,stannis,2
jojen,tormund,2
jojen,ygritte,2
jon,meera,2
jon,qhorin_halfhand,2
jon,rickon,2
jorah,prendahl,2
joyeuse,roslin,2
karl_tanner,rast,2
karl_tanner,sam,2
littlefinger,podrick,2
locke,qyburn,2
loras,pycelle,2
loras,renly,2
loras,shae,2
lothar,roslin,2
lothar,talisa,2
lysa,tywin,2
lysa,varys,2
margaery,pycelle,2
martyn,robb,2
meera,tormund,2
meera,ygritte,2
melisandre,selyse,2
mountain,thoros,2
mountain,tywin,2
myranda,ramsay,2
ned,rickard_karstark,2
ned,thoros,2
ned,tyrion,2
olenna,pycelle,2
olenna,renly,2
osha,tormund,2
osha,ygritte,2
podrick,sansa,2
pycelle,sansa,2
qhorin_halfhand,ygritte,2
qyburn,selwyn,2
qyburn,tywin,2
ramsay,violet,2
renly,robert,2
renly,sansa,2
renly,tywin,2
rickard_karstark,roslin,2
rickard_karstark,theon,2
rickard_karstark,walder,2
rickon,robb,2
rickon,theon,2
rickon,tormund,2
rickon,ygritte,2
robb,varys,2
robert,tywin,2
rylene,stannis,2
salladhor,stannis,2
selyse,shireen,2
shae,tywin,2
tyrion,walder,2
tywin,walder,2
